date,cover_type,mean_cover,se_cover
2005,Hard coral,40.84,3.9359451345978007
2005,Macroalgae,15.072,2.3811028257231284
2006,Hard coral,34.815384615384616,3.2641605519325627
2006,Macroalgae,5.725925925925925,0.8723938411256563
2007,Hard coral,39.327777777777776,3.454019078611822
2007,Macroalgae,3.3133333333333335,0.6314139093369852
2008,Hard coral,21.784615384615385,2.574070167303448
2008,Macroalgae,16.347368421052632,1.7461672592644857
2009,Hard coral,7.58421052631579,1.682355619729241
2009,Macroalgae,17.81714285714286,1.679448117207363
2010,Hard coral,2.8175,1.1541279730624017
2010,Macroalgae,12.15,2.9867099805532686
2011,Hard coral,3.0135135135135136,0.8637873355134502
2011,Macroalgae,8.491428571428571,1.2312620527316673
2012,Hard coral,5.635,0.8688302628482881
2012,Macroalgae,14.583783783783783,1.8943987038508696
2013,Hard coral,15.93421052631579,1.1528261785493255
2013,Macroalgae,13.468421052631578,1.9407221942674597
2014,Hard coral,29.871794871794872,1.8457448189862062
2014,Macroalgae,6.215789473684211,0.9278029411043591
2015,Hard coral,75.83703703703704,5.7963593745145525
2015,Macroalgae,7.984,1.6189572775915573
2016,Hard coral,64.59428571428572,5.507507394010291
2016,Macroalgae,9.014285714285714,1.6687243800048492
2017,Hard coral,64.03157894736842,3.253815148312913
2017,Macroalgae,2.611111111111111,0.7406644140570281
2018,Hard coral,62.31842105263158,6.293069925986783
2018,Macroalgae,2.2444444444444445,0.636392372410228
2019,Hard coral,82.165,4.809203982855993
2019,Macroalgae,1.9189189189189189,0.43936956332994703
2020,Hard coral,17.3775,1.794434013689882
2020,Macroalgae,26.036363636363635,2.884952530272964
2021,Hard coral,12.642857142857142,2.4359858806824715
2021,Macroalgae,43.465,3.5788580580961855
2022,Hard coral,7.682352941176471,1.2771017111173852
2022,Macroalgae,32.24444444444445,2.6235854054836953
2023,Hard coral,6.6,0.6365944747266703
2023,Macroalgae,34.08,1.9991755876618318
2023,Hard coral,6.6,0.6365944747266703
2023,Macroalgae,34.08,1.9991755876618318
